NAMESPACE                 NAME                                  READY   UP-TO-DATE   AVAILABLE   AGE     CONTAINERS                          IMAGES                                                                                                                                 SELECTOR
irestrict-apps            sample-financial-api                  2/2     2            2           2m35s   api                                 python:3.12-alpine                                                                                                                     app=sample-financial-api
irestrict-identity        keycloak                              1/1     1            1           2m57s   keycloak                            keycloak/keycloak:26.0.7                                                                                                               app=keycloak
irestrict-observability   otel-collector                        1/1     1            1           2m54s   otel-collector                      otel/opentelemetry-collector-contrib:0.113.0                                                                                           app=otel-collector
irestrict-security        opa                                   1/1     1            1           2m50s   opa                                 openpolicyagent/opa:1.4.2                                                                                                              app=opa
kube-system               ama-logs-rs                           1/1     1            1           7m18s   ama-logs                            mcr.microsoft.com/azuremonitor/containerinsights/ciprod:3.6.0                                                                          rsName=ama-logs-rs
kube-system               azure-wi-webhook-controller-manager   2/2     2            2           9m23s   manager                             mcr.microsoft.com/oss/v2/azure/workload-identity/webhook:v1.5.1-16                                                                     azure-workload-identity.io/system=true,kubernetes.azure.com/managedby=aks
kube-system               coredns                               2/2     2            2           8m43s   coredns                             mcr.microsoft.com/oss/v2/kubernetes/coredns:v1.13.1-20                                                                                 k8s-app=kube-dns,version=v20
kube-system               coredns-autoscaler                    1/1     1            1           8m43s   autoscaler                          mcr.microsoft.com/oss/v2/kubernetes/autoscaler/cluster-proportional-autoscaler:v1.9.0-21                                               k8s-app=coredns-autoscaler
kube-system               konnectivity-agent                    2/2     2            2           8m42s   konnectivity-agent                  mcr.microsoft.com/oss/v2/kubernetes/apiserver-network-proxy/agent:v0.32.1-7                                                            app=konnectivity-agent
kube-system               konnectivity-agent-autoscaler         1/1     1            1           8m42s   autoscaler                          mcr.microsoft.com/oss/v2/kubernetes/autoscaler/cluster-proportional-autoscaler:v1.9.0-21                                               app=konnectivity-agent-autoscaler
kube-system               metrics-server                        2/2     2            2           8m42s   metrics-server-vpa,metrics-server   mcr.microsoft.com/oss/v2/kubernetes/autoscaler/addon-resizer:v1.8.23-28,mcr.microsoft.com/oss/v2/kubernetes/metrics-server:v0.8.0-18   k8s-app=metrics-server
